id,label
0,8
1,3
2,4
3,9
4,4
5,1
6,1
7,9
8,1
9,7
10,9
11,1
12,3
13,2
14,4
15,7
16,4
17,7
18,2
19,1
20,2
21,3
22,3
23,3
24,5
25,8
26,2
27,5
28,2
29,9
30,4
31,8
32,1
33,5
34,2
35,0
36,9
37,4
38,4
39,4
40,2
41,0
42,7
43,5
44,0
45,7
46,0
47,3
48,4
49,6
50,2
51,7
52,4
53,2
54,2
55,0
56,9
57,0
58,6
59,5
60,7
61,8
62,5
63,5
64,6
65,4
66,9
67,7
68,5
69,6
70,7
71,6
72,8
73,8
74,8
75,4
76,7
77,5
78,1
79,2
80,6
81,4
82,4
83,3
84,4
85,4
86,4
87,2
88,7
89,0
90,2
91,9
92,0
93,6
94,1
95,4
96,6
97,1
98,1
99,7
100,6
101,1
102,9
103,6
104,4
105,0
106,0
107,3
108,5
109,1
110,0
111,9
112,4
113,9
114,6
115,2
116,8
117,2
118,4
119,0
120,0
121,7
122,3
123,8
124,4
125,1
126,5
127,6
128,3
129,3
130,9
131,0
132,8
133,0
134,5
135,8
136,9
137,7
138,7
139,9
140,4
141,6
142,1
143,4
144,6
145,2
146,8
147,6
148,2
149,3
150,9
151,6
152,9
153,5
154,2
155,9
156,5
157,4
158,2
159,2
160,8
161,6
162,7
163,2
164,3
165,4
166,9
167,5
168,1
169,5
170,9
171,4
172,5
173,3
174,2
175,2
176,4
177,5
178,7
179,0
180,8
181,5
182,9
183,4
184,0
185,7
186,9
187,1
188,9
189,8
190,8
191,8
192,2
193,0
194,8
195,5
196,6
197,8
198,3
199,7
200,6
201,4
202,3
203,2
204,1
205,2
206,8
207,9
208,5
209,4
210,2
211,2
212,8
213,7
214,7
215,6
216,7
217,7
218,1
219,0
220,2
221,3
222,0
223,8
224,3
225,4
226,1
227,4
228,4
229,3
230,5
231,6
232,8
233,7
234,8
235,6
236,3
237,1
238,4
239,6
240,1
241,7
242,9
243,6
244,2
245,8
246,2
247,4
248,6
249,9
250,7
251,8
252,7
253,6
254,7
255,8
256,2
257,1
258,5
259,7
260,3
261,6
262,2
263,4
264,0
265,6
266,3
267,6
268,9
269,6
270,7
271,9
272,0
273,6
274,8
275,3
276,3
277,7
278,8
279,5
280,3
281,1
282,0
283,4
284,4
285,8
286,9
287,9
288,5
289,2
290,9
291,1
292,3
293,0
294,8
295,4
296,6
297,9
298,2
299,6
300,7
301,6
302,7
303,4
304,4
305,5
306,2
307,2
308,6
309,8
310,2
311,2
312,4
313,7
314,7
315,9
316,8
317,3
318,1
319,1
320,2
321,9
322,5
323,9
324,9
325,4
326,7
327,9
328,6
329,2
330,0
331,5
332,4
333,3
334,2
335,6
336,2
337,9
338,8
339,1
340,3
341,0
342,0
343,6
344,1
345,1
346,4
347,8
348,8
349,9
350,8
351,3
352,9
353,4
354,8
355,4
356,3
357,4
358,2
359,0
360,3
361,0
362,5
363,7
364,5
365,7
366,7
367,4
368,6
369,9
370,6
371,0
372,6
373,9
374,6
375,3
376,2
377,5
378,6
379,6
380,0
381,7
382,1
383,6
384,6
385,8
386,2
387,5
388,1
389,5
390,3
391,8
392,2
393,8
394,2
395,7
396,9
397,2
398,3
399,5
400,7
401,8
402,6
403,4
404,5
405,5
406,5
407,4
408,2
409,4
410,8
411,1
412,6
413,5
414,8
415,5
416,0
417,9
418,7
419,9
420,3
421,0
422,9
423,5
424,7
425,2
426,4
427,3
428,3
429,4
430,7
431,7
432,2
433,4
434,7
435,7
436,7
437,7
438,3
439,9
440,3
441,9
442,1
443,1
444,6
445,2
446,5
447,1
448,6
449,7
450,9
451,0
452,9
453,7
454,0
455,3
456,3
457,1
458,5
459,4
460,9
461,4
462,5
463,0
464,4
465,1
466,5
467,3
468,8
469,3
470,2
471,1
472,3
473,7
474,1
475,1
476,1
477,8
478,2
479,6
480,3
481,0
482,1
483,3
484,8
485,2
486,3
487,6
488,4
489,0
490,4
491,8
492,0
493,4
494,8
495,2
496,5
497,2
498,7
499,6
500,7
501,9
502,7
503,6
504,3
505,2
506,0
507,1
508,2
509,6
510,6
511,2
512,1
513,6
514,9
515,8
516,3
517,6
518,9
519,9
520,3
521,2
522,0
523,5
524,0
525,7
526,7
527,3
528,7
529,1
530,8
531,3
532,0
533,7
534,3
535,0
536,8
537,1
538,5
539,9
540,4
541,1
542,0
543,0
544,5
545,0
546,8
547,3
548,3
549,9
550,3
551,5
552,3
553,1
554,9
555,9
556,2
557,1
558,5
559,0
560,0
561,7
562,3
563,2
564,1
565,5
566,3
567,7
568,5
569,2
570,5
571,2
572,5
573,0
574,9
575,0
576,3
577,7
578,9
579,5
580,9
581,2
582,6
583,8
584,1
585,4
586,9
587,2
588,6
589,0
590,4
591,8
592,1
593,4
594,9
595,8
596,7
597,2
598,6
599,6
600,4
601,9
602,9
603,3
604,4
605,3
606,6
607,0
608,0
609,6
610,8
611,5
612,5
613,0
614,8
615,1
616,5
617,5
618,4
619,9
620,2
621,3
622,0
623,6
624,1
625,8
626,1
627,1
628,7
629,9
630,6
631,2
632,2
633,2
634,7
635,6
636,2
637,9
638,1
639,4
640,0
641,4
642,3
643,4
644,4
645,6
646,6
647,5
648,9
649,8
650,1
651,2
652,2
653,9
654,9
655,4
656,6
657,0
658,3
659,8
660,4
661,3
662,6
663,3
664,3
665,5
666,3
667,2
668,1
669,3
670,9
671,7
672,1
673,6
674,2
675,7
676,0
677,7
678,8
679,7
680,2
681,8
682,6
683,5
684,1
685,3
686,5
687,8
688,9
689,1
690,5
691,1
692,6
693,9
694,8
695,8
696,1
697,2
698,4
699,3
700,9
701,2
702,6
703,1
704,9
705,5
706,6
707,1
708,3
709,8
710,5
711,4
712,4
713,1
714,6
715,0
716,5
717,3
718,2
719,5
720,9
721,2
722,8
723,5
724,3
725,7
726,6
727,7
728,8
729,8
730,2
731,1
732,3
733,0
734,7
735,2
736,1
737,4
738,4
739,2
740,7
741,6
742,9
743,4
744,4
745,5
746,8
747,2
748,9
749,7
750,4
751,8
752,1
753,3
754,3
755,4
756,0
757,2
758,7
759,0
760,4
761,4
762,0
763,5
764,5
765,8
766,9
767,8
768,5
769,4
770,0
771,9
772,6
773,1
774,8
775,2
776,7
777,6
778,2
779,8
780,8
781,9
782,5
783,3
784,6
785,1
786,4
787,8
788,5
789,2
790,1
791,5
792,5
793,9
794,1
795,0
796,4
797,1
798,4
799,9
800,2
801,2
802,8
803,5
804,3
805,8
806,7
807,4
808,4
809,5
810,1
811,8
812,3
813,7
814,4
815,4
816,0
817,5
818,9
819,7
820,3
821,5
822,5
823,4
824,0
825,0
826,8
827,2
828,6
829,6
830,2
831,4
832,7
833,0
834,7
835,2
836,6
837,8
838,6
839,5
840,0
841,1
842,9
843,0
844,5
845,2
846,7
847,5
848,5
849,5
850,9
851,2
852,5
853,3
854,2
855,1
856,8
857,5
858,5
859,1
860,1
861,9
862,5
863,4
864,2
865,1
866,0
867,4
868,0
869,7
870,4
871,6
872,0
873,0
874,8
875,1
876,9
877,5
878,2
879,8
880,0
881,5
882,0
883,6
884,7
885,4
886,5
887,0
888,4
889,7
890,4
891,5
892,1
893,4
894,0
895,1
896,0
897,0
898,7
899,1
900,8
901,6
902,9
903,5
904,1
905,5
906,7
907,3
908,3
909,5
910,7
911,1
912,0
913,5
914,8
915,9
916,7
917,2
918,3
919,4
920,4
921,4
922,2
923,7
924,0
925,7
926,9
927,2
928,8
929,4
930,8
931,4
932,1
933,0
934,2
935,3
936,4
937,6
938,0
939,5
940,7
941,0
942,4
943,2
944,4
945,0
946,7
947,9
948,6
949,5
950,1
951,0
952,6
953,6
954,5
955,3
956,0
957,7
958,9
959,9
960,4
961,0
962,0
963,5
964,2
965,4
966,4
967,5
968,1
969,1
970,1
971,7
972,2
973,2
974,9
975,5
976,1
977,2
978,2
979,4
980,4
981,4
982,2
983,8
984,7
985,5
986,8
987,2
988,2
989,9
990,2
991,8
992,1
993,4
994,1
995,5
996,5
997,8
998,5
999,7
1000,5
1001,8
1002,6
1003,3
1004,7
1005,4
1006,9
1007,5
1008,2
